latitude,longitude,photon_rate,lognormal_height,lognormal_sigma,lognormal_mean_error,gaussian_height,gaussian_sigma,gaussian_mean_error
71.49470782108085,-156.51711473299093,6.167,-1.467930167876982,0.154134204027351,0.002496775515441434,-1.4707499577519436,0.14485982115546187,0.0023751676684390824
71.49376266019833,-156.51750076829765,6.5729999999999995,-1.3789087348136884,0.24090789255396067,0.0010568195239851733,-1.3945685072691627,0.22269589326064154,0.0010197905983654449
71.49286185501178,-156.51787849603386,6.244,-1.171072399345192,0.2920986927890595,0.0009882984083744047,-1.1764958240001389,0.283366351252637,0.0009525957646915725
71.49193067923152,-156.5182656071808,6.0969999999999995,-1.0855548296860618,0.28448420857378615,0.0011316555168234788,-1.086669980801183,0.2810960921040635,0.0011280272953677584
71.49102242196653,-156.51865003046936,5.922,-0.9398557645170287,0.35440676550802336,0.0016186637480604762,-0.9338239712741603,0.3442667866897467,0.0015853666369059502
71.49015654747407,-156.51901570738588,5.656,-1.2309109222133596,0.22843044486643244,0.0023761798859690897,-1.2326488539882707,0.21962718349969537,0.0023310617631325716
71.48918348114651,-156.51941627948943,5.74,-1.2872056701879426,0.32297530043575057,0.002275736148880896,-1.2872056701879426,0.32297530043575057,0.002275736148880896
71.48828764325701,-156.51978246996032,5.817,-1.6605183480874597,0.017965285107630923,0.005438071427272615,-1.646230690253725,0.006255393825598433,0.0051901899211282115
71.48733424744462,-156.52017336709318,6.048,-1.4960473157109273,0.1911377186587437,0.0017502314274058053,-1.508860591951326,0.17201597618115802,0.0016774264496491919
71.48645584223279,-156.52054175538734,6.321,-1.393860696753244,0.13313267561042885,0.0018137716200686822,-1.3914034033556804,0.12003750158425906,0.0016382038667612407
71.48556034507227,-156.5209230884799,6.335,-1.5696780393106464,0.05203736684929576,0.003120912441455655,-1.570162751137344,0.016941956026186672,0.00299364771101187
71.48463555122953,-156.52130445282216,6.223,-1.5474438001123112,0.14200378525553523,0.003937776077409607,-1.5680311240401696,0.07744416462384862,0.0031753349176119193
71.48370774237767,-156.52168841613567,5.67,-1.5807583933841964,0.08342061907504048,0.002265398234303236,-1.5802182420555577,0.10244014557005175,0.002347843183857561
71.48278558889828,-156.5220757061046,6.2509999999999994,-1.5651460012031717,0.009045032457038079,0.006358372392611526,-1.5612567294215278,0.005001470951608736,0.006211298387377223
71.48188437227279,-156.52244466430372,5.677,-1.4135484544787769,0.15994702564490978,0.0023197673797706333,-1.4368820760820098,0.12359839964477018,0.0020421611505125124
71.48097003923901,-156.52281512302014,6.482,-1.4006425635852628,0.08373495376042539,0.0020148334890289863,-1.3902090061911205,0.07213328801720148,0.0019807852012970095
71.48007532143666,-156.5231802060229,6.391,-1.3139112417119094,0.1753510576524666,0.0016494396017648098,-1.319872652836706,0.15523925833422594,0.0015126210157620666
71.47913825930225,-156.52356647576934,6.5169999999999995,-1.4328143156701834,0.20877008718168175,0.0014301674925115482,-1.4385822906890269,0.18795980665321452,0.0013556489035868164
71.4782176200449,-156.52394915685616,6.069,-1.6126698970695694,0.00887203542346989,0.004520247483158284,-1.6109690027830161,0.00552873789425711,0.004510521043139554
71.47731718783538,-156.52432867615695,6.545,-1.5266605052580102,0.029409538639718052,0.0016093276479707916,-1.5277300432132264,0.007282391650042669,0.0016063174553875683
71.47637131297796,-156.52472279030155,6.538,-1.56511930220225,0.017528328510103983,0.0051264138183525435,-1.5498420490291687,0.006109881006582249,0.004896250339861452
71.47548968226909,-156.5250809765806,6.803999999999999,-1.5252592243580296,0.03870971930276269,0.0018446981211682003,-1.5276342021272804,0.005428404154829923,0.0016333205620220831
71.47458213151876,-156.52545739819035,5.957,-1.543559535999601,0.005546178942092604,0.005529457085312258,-1.5455196737304393,0.005056578497895829,0.005507133216526523
71.4736364769676,-156.52585667410472,6.58,-1.5419436359426528,0.0447299894137327,0.0018398093793688351,-1.5246260033771564,0.009629171138577926,0.0014355989481732935
71.47273150414144,-156.52623015179944,6.4959999999999996,-1.4337145213735443,0.19382205155361376,0.0007275843304227348,-1.4350256392603196,0.1860822510380112,0.0007183845078495666
71.47182576616093,-156.52659253248999,6.454,-1.3482604387212704,0.32870134410000157,0.001882776988084761,-1.3482604387212704,0.32870134410000157,0.001882776988084761
71.4710660478764,-156.5269083809533,3.85,-1.590412123338626,0.23412562360606964,0.0041852748992949615,-1.590412123338626,0.23412562360606964,0.0041852748992949615
71.46995453442642,-156.5273778489606,1.8479999999999999,-1.740314131670293,0.006822894038775651,0.00857496132116028,-1.7277841345564806,0.006323912446795588,0.008558313901433044
71.46909433778188,-156.52772894858165,6.545,-0.9368698532824288,0.477840370130135,0.001445838038895757,-0.9368698532824288,0.477840370130135,0.001445838038895757
71.46817462749819,-156.5281114593011,6.797,-1.5288966804050388,0.09421296726242774,0.00120440991116861,-1.5192549317651445,0.11354531261938855,0.0013136237792704128
71.46722106131692,-156.52850228955504,7.189,-1.469722928106181,0.28052944978862937,0.0021614813127111133,-1.488260337489938,0.2637760955763793,0.0021154130838651696
71.46547180417294,-156.52920514761843,7.3919999999999995,-1.2169857955531118,0.46719496278904366,0.00369338204108135,-1.24178517444284,0.44612655318293687,0.0036986332218039942
71.46450170832719,-156.52961491845778,6.531,-1.4293121550568586,0.146712024137026,0.002690005570953197,-1.4395812312804308,0.0896020532710034,0.0019358134868682516
71.46359168167001,-156.52998584566424,7.119,-1.291987294849623,0.28155470234042557,0.0015659272439416338,-1.2983826298057402,0.2735211024921255,0.0015379375218407276
71.4627423992909,-156.5303218187898,5.5649999999999995,-1.3067280784731383,0.1512742337176261,0.00249017313151077,-1.3067280784731383,0.1512742337176261,0.00249017313151077
71.46182387937537,-156.53071568880097,1.771,-1.7474323449937812,0.006298979399428608,0.004109698429775335,-1.746851212964409,0.005057772110396345,0.004093756532608021
71.46088679716806,-156.5311081556249,1.281,-1.7617517453554208,0.01694913102738871,0.006320985455909642,-1.7487326539106804,0.005827405832266326,0.00616950662431475
71.45994865936072,-156.5314842236202,1.267,-1.7276088118867978,0.00952949944778201,0.006897453696381537,-1.7293033300967573,0.005008765875289171,0.006886829497902132
71.45903388956309,-156.5318603207287,1.281,-1.7281737748769146,0.008008925988528306,0.011219077481737444,-1.7260394766094895,0.008292892498353443,0.01128779420930993
